And shall, sir.	I will, sir.
And wilt thou have me?	Were you going to have me?
A single thing, as I am now, that wonders To hear thee speak of Naples.	I wonder if you hear the words of Naples.
Are yet two Romans living such as these?	Are there two Romans who live as well?
A thousand, sir, Early though ’t be, have on their riveted trim And at the port expect you.	A thousand, sir, have on their riveted trim and at the port expect you.
And say besides that in Aleppo once, Where a malignant and a turbaned Turk Beat a Venetian and traduced the state, I took by the throat the circumcisèd dog, And smote him, thus.	I took the circumcisèd dog by the throat and smoted him.
All strange and terrible events are welcome, But comforts we despise.	All strange and terrible events are welcome, but we are a little disappointed.
And she is mine, and all my right of her I do estate unto Demetrius.	She is mine, and all my right of her is my estate to Demetrius.
After dinner Your hazard shall be made.	After dinner, your hazard will be made.
And in assemblies too.	I will be doing it in assemblies.
And you shall speak In the same pulpit whereto I am going, After my speech is ended.	You will speak in the same pulpit as I am going, after my speech is finished.
And on the answer, he pays you as surely as your feet hit the ground they step on.	On the answer, he pays you as sure as your feet hit the ground they step on.
Alas, I sent you money to redeem you By Dromio here, who came in haste for it.	I sent you money to redeem you by Dromio, who came in grabs.
A kind good night to all!	It was a good night to all!
A most poor credulous monster.—Well drawn, monster, in good sooth!	A poor credulous monster.
And how doth she?	How does she do it?
And did not they Put on my brows this wreath of victory And bid me give it thee?	Didn’t they put on my brows this wreath of victory and bid me to give it to you?
Alas, too soon We came aboard.	Too soon we arrived.
Are you a suitor to the maid you talk of, yea or no?	Are you a suitor to the woman you talk about, yea or no?
And that is Claudio.	That is Claudio.
Ah, poor heart, he is so shaked of a burning quotidian tertian that it is most lamentable to behold.	He is so shaken by a burning tertian that it is most regrettable to behold.
Abide within.	Abide within.
A credulous father, and a brother noble— Whose nature is so far from doing harms That he suspects none, on whose foolish honesty My practices ride easy.	A credulous father, and a brother noble—who is so far from doing harms that he is not suspecting.
A sister I bequeath you whom no brother Did ever love so dearly.	I behold a sister whom no brother ever loved so much.
Adieu, be vigitant, I beseech you.	Adieu, be vigilant, I beg you.
And, good lieutenant, I think you think I love you.	Good lieutenant, I think you think I love you.
All things in common nature should produce Without sweat or endeavor.	All things should be done in common without sweat or effort.
Antony will use his affection where it is.	Antony will use his affection wherever he is.
And he’s gone.	He is gone.
Ah, that’s a foul fault.	That is a bad fault.
All which time Before the gods my knee shall bow my prayers To them for you.	I will be praying for you all the time before the gods.
Antonio, I am married to a wife Which is as dear to me as life itself.	Antonio, I am married to a wife that is as dear to me as life itself.
And so swear I.	I swear.
And that distilled by magic sleights Shall raise such artificial sprites As by the strength of their illusion Shall draw him on to his confusion.	That distilled by magic sleights will raise such artificial sprites as will draw him to his confusion.
Abate the edge of traitors, gracious Lord, That would reduce these bloody days again, And make poor England weep in streams of blood!	Abate the edge of the traitors, gracious Lord, that would reduce these bloody days again and make poor England weep in streams of blood!
And lawfully by this the Jew may claim A pound of flesh to be by him cut off Nearest the merchant’s heart.—Be merciful.	He may claim a pound of flesh to be cut off near the merchant’s heart.
And am I then revenged	I was a revenge.
And if your love Can labor ought in sad invention, Hang her an epitaph upon her tomb And sing it to her bones.	If your love can labor in a sad invention, hang her an epitaph on her tomb and sing it to her bones.
And then, I hope, thou wilt be satisfied.	I hope you are satisfied.
Am I your bird?	Am I your bird?
And all my children?	All my children?
And unrespective boys.	And unrespective boys.
All but Metellus Cimber, and he’s gone To seek you at your house.	All except Metellus Cimber, he is gone to seek you at your house.
Angels and ministers of grace defend us!	Angels and ministers of grace defend us.
And so he fell.	He fell.
All-seeing heaven, what a world is this!	What a world is this!
And, you know, his means, If he improve them, may well stretch so far As to annoy us all; which to prevent, Let Antony and Caesar fall together.	You know, if he improves them, he may well be able to make it worse for us all.
All ready.	All is ready.
A third cannot be matched unless the devil himself turn Jew.	A third cannot be matched unless the devil himself turns Jew.
And so, God be with him!	God is with him!
And what they may incense him to, being apt To have his ear abused, wisdom bids fear.	He is a wise man, who is apt to have his ear abused.
Alas, poor ghost!	Poor ghost!
And what have kings that privates have not too, Save ceremony, save general ceremony?	What have kings that privates have not too, Save ceremony, Save general ceremony?
And to deal plainly I fear I am not in my perfect mind.	I am not in my perfect mind.
And take good note What Caesar doth, what suitors press to him.	Take good note of what Caesar does, what suitors press to him.
And too soon marred are those so early made.	Too soon they are made.
Alack, why thus?	Why?
And yon tall anchoring bark,	And yon tall anchoring bark,
And mine, but it grows something stale with me.	I am a little stale.
And so return to you, and nothing else?	Return to you, and nothing else?
An the duke had not given him sixpence a day for playing Pyramus, I’ll be hanged.	If the duke had not given him sixpence a day for playing Pyramus, I will be hanged.
All the world desires her.	All the world wants her.
And his unbookish jealousy must construe Poor Cassio’s smiles, gestures, and light behavior Quite in the wrong.—How do you now, lieutenant?	He must be jealous of Cassio’s smiles, gestures, and light behavior.
A contract of true love to celebrate, And some donation freely to estate On the blessed lovers.	A contract of true love to celebrate, and some donation to the blessed lovers.
A commodity in question, I warrant you.—Come, we’ll obey you.	You are a commodity, I warrant you.
Ah, for our father, for our dear lord Clarence!	Oh, for our father, for our dear Clarence!
A good sharp fellow.	A good sharp fellow.
A friend?	A friend?
And these does she apply for warnings and portents And evils imminent, and on her knee Hath begged that I will stay at home today.	She is asking for warnings and warnings and warnings and warnings for imminent evils, and on her knee Hath begged me to stay at home today.
And when she is froward, peevish, sullen, sour, And not obedient to his honest will, What is she but a foul contending rebel And graceless traitor to her loving lord?	When she is froward, peevish, sullen, sour, and not obedient to his honest will, what is she but a rebel and a sour, threatening traitor
And I do think—or else this brain of mine Hunts not the trail of policy so sure As it hath used to do—that I have found The very cause of Hamlet’s lunacy.	I think that this brain of mine is not the trail of policy so sure it is as good as it used to be.
And she can weep, sir, weep.	She can weep, sir.
And who is England’s king but great York’s heir?	Who is England’s king but great York’s heir?
And let our hearts, as subtle masters do, Stir up their servants to an act of rage And after seem to chide 'em.	Let our hearts, as subtle masters, stir up their servants to a rage and after seem to chide 'em.
An thou make minstrels of us, look to hear nothing but discords.	If you make minstrels of us, look for nothing but discords.
All the East, Say thou, shall call her mistress.” So he nodded, And soberly did mount an arm-gaunt steed, Who neighed so high that what I would have spoke Was beastly dumbed by him.	He shook his arm so high that what I would have spoken was beastly dumbed by him.
Are these things spoken, or do I but dream?	Are these things spoken, or do I dream?
All things shall be well.	Everything will be good.
And fair words to them.	They are good.
And trust me, love, in my eye so do you.	Trust me, love, in my eye.
About a hoop of gold, a paltry ring That she did give me, whose posy was For all the world like cutler’s poetry Upon a knife, “Love me and leave me not.” What talk you of the posy or the value?	What about a ring of gold, a ring that she gave me, whose posy was for all the world like a cutler’s poetry Upon a knife, “Love me and leave me not
And may you prove, sir, master of your art.	You are a master of your art.
And if you leave me so, you do me wrong.	If you leave me, you do me wrong.
A very forward March-chick!	A very forward March-chick!
Aboard, aboard, for shame!	Aboard, aboard, for shame!
And why, sir, must they so?	Why, sir, do they?
And, pretty fool, it stinted and said “ay.” Enough of this.	It was a fool, and he said “ay.”
A pox of drowning thyself!	A pox of drowning youself!
Against my will, I am sent to bid you come in to dinner.	I am sent to ask you to come in to dinner.
And to that end, sir, I will welcome you.	To that end, sir, I will welcome you.
And I pray thee now tell me, for which of my bad parts didst thou first fall in love with me?	Now, tell me, for which of my bad parts did you fall in love with me first?
A hit, a very palpable hit.	A hit, a very palpable hit.
And fixed his eyes upon you?	He fixed his eyes on you.
Are all thy conquests, glories, triumphs, spoils, Shrunk to this little measure?	Are all your conquests, glories, triumphs, spoils, all stricken to this little measure?
Amen, amen.	Amen, amen.
A little, by your favor.	A little, by your favor.
And what’s the news, good cousin Lodovico?	What is the news, good cousin Lodovico?
Almost afraid to know itself.	It is almost afraid to know itself.
And nothing is at a like goodness still.	Nothing is at a like goodness still.
Along with them They brought one Pinch, a hungry, lean-faced villain, A mere anatomy, a mountebank, A threadbare juggler, and a fortune-teller, A needy, hollow-eyed, sharp-looking wretch, A living dead man.	Along with them, they brought one Pinch, a hungry, lean-faced villain, a simple anatomy, a mountebank, a threadbare juggler, and a fortune-teller, 
And mine a hundred and forty.	I have a hundred and forty.
And is not the grease of a mutton as wholesome as the sweat of a man?	Isn’t the grease of a mutton as healthy as the sweat of a man?
Amaze the welkin with your broken staves—	Amass the welkin with your broken taves.
And are not you my husband?	Are you my husband?
And as I say, retire with me to my lodging, from whence I will fitly bring you to hear my lord speak.	As I said, retire with me to my lodging, from where I will bring you to hear my lord speak.
And let the wise man fly.	Let the wise man fly.
Alas now, pray you, Work not so hard.	Now, pray you, work not so hard.
And your experience makes you sad.	Your experience makes you sad.
And of women.	And of women.
A Roman.	A Roman.
And a chain, that you once wore, about his neck.	A chain, that you once wore, about his neck.
A many of our bodies shall no doubt Find native graves, upon the which, I trust, Shall witness live in brass of this day’s work.	A number of our bodies will no doubt find native graves, on which I trust, will witness live in brass of this day’s work.
And sowing the kernels of it in the sea, bring forth more islands.	And sowing the kernels of it in the sea, bring forth more islands.
Alas, sir, it is worse for me than so, For I have bills for money by exchange From Florence, and must here deliver them.	I have bills for money by exchange from Florence, and I have to deliver them here.
A pleasing cordial, princely Buckingham, Is this thy vow unto my sickly heart.	A pleasing, princely Buckingham, Is this your vow to my sick heart?
All that glisters is not gold— Often have you heard that told.	All that glisters do is not gold, you have heard that told you.
And mine, two hundred.	Mine, two hundred.
Alas, what ignorant sin have I committed?	What is my ignorant sin?
A pack of blessings light upon thy back, Happiness courts thee in her best array,	A pack of blessings light upon your back, Happiness is your best friend.
And smelt so?	And smelt it?
Are you drawn forth among a world of men To slay the innocent?	Are you drawn up among a world of men to kill the innocent?
And when goes hence?	When is that going?
A dry jest, sir.	A dry jest, sir.
All is not well.	It is not good.
And this report Hath so exasperated the king that he Prepares for some attempt of war.	This report has a king so exasperated that he is ready for some war.
An please your Majesty, let his neck answer for it, if there is any martial law in the world.	If you want to please your Majesty, let his neck answer for it, if there is any martial law in the world.
And I’ll sleep.	I will sleep.
And speak ’t again, my lord.	And speak again, my lord.
A certain aim he took At a fair vestal thronèd by the west, And loosed his love shaft smartly from his bow As it should pierce a hundred thousand hearts.	He took a certain aim at a fair vestal throned by the west and loosed his love shaft smartly from his bow, as it would pierce a hundred thousand hearts.
And I beseech you instantly to visit My too much changèd son.	I beg you to visit my too much changèd son.
And it is marvel he outdwells his hour, For lovers ever run before the clock.	It is marvellous that he has a better hour, for lovers to run ever before the clock.
A hundred then.	A hundred.
And my trust, Like a good parent, did beget of him A falsehood in its contrary as great As my trust was, which had indeed no limit, A confidence sans bound.	My trust, like a good parent, shook him up as much as I was, and he was not bound by it.
Alack, poor gentleman!	Poor gentleman.
All?	All?
And wherefore are you gentle, strong, and valiant?	Are you gentle, strong, and valiant?
Although I joy in thee, I have no joy of this contract tonight.	I am not happy with you, but I am not happy with this contract tonight.
And thereof came it that the man was mad.	It was that the man was mad.
Alive in triumph—and Mercutio slain!	You are alive in triumph—and Mercutio is killed!
And we did think it writ down in our duty To let you know of it.	We thought it was our duty to let you know of it.
Ah, my back, my back!	Oh my back, my back!
About it!	About it!
And therefore, since I cannot prove a lover To entertain these fair well-spoken days, I am determinèd to prove a villain And hate the idle pleasures of these days.	Since I cannot prove a lover to entertain these fairly well-spoken days, I am a determinant to prove a villain and hate the idle pleasures of these days.
And you are come in very happy time To bear my greeting to the senators And tell them that I will not come today.	You are coming in very happy time to bear my greetings to the senators and tell them that I will not come today.
And when please you to say so?	When will you tell me that?
And my heart too.	And my heart too.
And I would I could find in my heart that I had not a hard heart, for truly I love none.	I would find in my heart that I had not a hard heart, because I love none.
Alas, I took great pains to study it, and ’tis poetical.	I took great pains to study it, and it is poetic.
And what wilt thou do—beg when that is spent?	What will you do?
Adieu, Till your return at night.	Adieu, until you return at night.
And thy father Was Duke of Milan, and thou his only heir And princess no worse issued.	Your father was Duke of Milan, and you were his only heir and princess.
And then, as we have ta'en the sacrament, We will unite the white rose and the red.	As soon as we have ta'en the sacrament, we will unite the white rose and the red.
And in the morning early will we both Fly toward Belmont.	In the morning, we will both fly towards Belmont.
A plague upon this howling!	This is a plague!
Alas, that they are so, To die even when they to perfection grow!	Oh, they are so, to die even when they grow to perfection.
A tailor made thee.	A tailor made you.
And yet for aught I see, they are as sick that surfeit with too much as they that starve with nothing.	I see that they are as sick as they are that they are that they are too sick to surf with too much as they are that they are not hungry with nothing.
Am I like such a fellow?	Am I like a fellow?
And to run away from the Jew I should be ruled by the fiend, who, saving your reverence, is the devil himself.	To run away from the Jew, I should be ruled by the fiend, who, saving your reverence, is the devil himself.
And for I know she taketh most delight In music, instruments, and poetry, Schoolmasters will I keep within my house, Fit to instruct her youth.	I will keep my house, Fit, in my house to instruct her youth.
Amen, amen to that fair prayer, say I.	Amen, amen to that prayer, say I.
And since you know you cannot see yourself So well as by reflection, I, your glass, Will modestly discover to yourself That of yourself which you yet know not of.	Since you know you cannot see yourself as well as by reflection, I will, your glass, be able to find out what you are talking about.
A sweet woman!	A sweet woman!
Alack the day!	You have to be prepared for the day!
All the pictures fairest lined Are but black to Rosalind.	All the pictures that are fairly lined are black to Rosalind.
A good wench, give it me.	If you have a good wench, give it to me.
Alas the day!	It is the day of the day!
Are my deserts no better?	Are my deserts no better?
Alas!	Oh, I am sorry!
Are there no stones in heaven But what serve for the thunder?—Precious villain!	Are there no stones in heaven, but what serves for the thunder?
And the tears of it are wet.	The tears of it are wet.
And though I make this marriage for my peace, I’ th’ East my pleasure lies.	I am happy to have this marriage for my peace.
And wherefore doth Lysander Deny your love, so rich within his soul, And tender me, forsooth, affection, But by your setting on, by your consent?	Do you think Lysander will refuse your love, so rich in his soul, and tender me, forsooth, affection, but by setting on, by your consent?
An inviting eye, and yet methinks right modest.	It is a welcoming eye, but I think it is right modest.
Although I hate her, I’ll not harm her so.	I hate her, but I will not harm her.
Ah, soldier!	Oh, soldier!
A howling monster, a drunken monster.	A drunken monster.
And now you know my meaning.	Now you know my meaning.
And this.	That is the case.
And most dear actors, eat no onions nor garlic, for we are to utter sweet breath.	And dear actors, do not eat onions or garlic, because we are to utter sweet breath.
And I, my lord.	I, my lord.
An oath, an oath, I have an oath in heaven.	An oath, an oath, I have an oath in heaven.
A dire induction am I witness to, And will to France, hoping the consequence Will prove as bitter, black, and tragical.	I am witnessing a terrible induction, and will be able to send a message to France, hoping the consequences will be bitter, black, and tragic.
Alas, and woe!	Oh, and we are so sorry.
And for my love I pray you wrong me not.	For my love, I pray you don’t know what I am doing.
All offices are open, and there is full liberty of feasting from this present hour of five till the bell have told eleven.	All offices are open, and there is a full freedom to feast from this five-hour period until the bell has told eleven.
And cries aloud, “Tarry, my cousin Suffolk.	He says, “Tarry, my cousin Suffolk.
And die in music.	And die in music.
All comfort that the dark night can afford Be to thy person, noble father-in-law.	All comfort is given to your noble father-in-law.
All that is spoke is marred.	All that is spoken is slammed.
A greater gift than that I’ll give my cousin.	I will give my cousin a greater gift than that.
Antonio and old Shylock, both stand forth.	Antonio and Shylock stand up.
And liegemen to the Dane.	And liegemen to the Dane.
Are you acquainted with the difference That holds this present question in the court?	Are you familiar with the difference that holds this question in the court?
Ah, he is young, and his minority Is put unto the trust of Richard Gloucester, A man that loves not me nor none of you.	He is young, and his minority is put to the trust of Richard Gloucester, a man who does not love me or you.
And patches will I get unto these cudgeled scars, And swear I got them in the Gallia wars.	I will get to these cudgeled scars, and swear I got them in the Gallia wars.
All that I have to say is to tell you that the lanthorn is the moon; I, the man in the moon; this thornbush, my thornbush; and this dog, my dog.	I have to say that the lanthorn is the moon; I am the man in the moon; this thornbush is my thornbush; and this dog is my dog.
And what of him, Tranio?	What about him, Tranio?
And I am witness with her that she did.	I am witnessing her doing it.
A likely piece of work, that you should find it in your chamber, and not know who left it there!	It is a likely piece of work that you should find in your chamber and not know who left it there.
And yet thou wilt tutor me from quarreling!	You will help me out of conflict.
And she is exceeding wise.	She is exceedingly sceptical.
An abominable monster!	An abominable monster!
And I do know by this they stay for me In Pompey’s porch.	I know that they stay for me on Pompey’s porch.
A lean cheek, which you have not; a blue eye and sunken, which you have not; an unquestionable spirit, which you have not; a beard neglected, which you have not—but I pardon you for that, for simply your having in beard is a younger brother’s revenue.	A lean cheek, which you have not; a blue eye and sunken eye, which you have not; an unquestionable spirit, which you have not; a beard neglected, which you have not.
Adieu, good neighbor.	Adieu, good neighbor.
Are you not a strumpet?	Are you a strumpet?
And their tongues rot That speak against us!	They rot and speak against us.
Anon!	Anon!
A fair woman!	A fair woman!
Alack, alack, Edmund, I like not this unnatural dealing.	I do not like this unnatural dealing.
And that I am he Let me a little show it even in this: That I was constant Cimber should be banished, And constant do remain to keep him so.	I am he, let me show it a little even in this case: I was constant Cimber, and I should be banished.
Another general shout!	Another shout!
Amen, if you love her, for the lady is very well worthy.	If you love her, she is very worthy.
A simple countryman that brought her figs.	A simple countryman who brought her figs.
And when the mind is quickened, out of doubt, The organs, though defunct and dead before, Break up their drowsy grave and newly move, With casted slough and fresh legerity.	When the mind is quickened, the organs, even though they were dead before, break up their drowsy grave and move slowly, with a slough and a fresh legerity.
And I do think she’s thirty.	I think she is thirty.
A bitter fool.	A bitter fool.
All ports I’ll bar.	I will bar all ports.
And now who knows But you, Lorenzo, whether I am yours?	Who knows you, Lorenzo, whether I am yours?
And sayst thou yet that exile is not death?	And yet, you say that exile is not death.
And yet I wish but for the thing I have.	I wish I had something to do.
And, honest company, I thank you all, That have beheld me give away myself To this most patient, sweet and virtuous wife.	I thank you all for your kindness and kindness.
And not a jot of “Tranio” in your mouth.	You are not a jot of “Tranio” in your mouth.
And yet to win her, all the world to nothing!	She is still in the world.
Ah, Buckingham, now do I play the touch, To try if thou be current gold indeed.	Oh Buckingham, now I am trying to find out if you are gold.
Are his wits safe?	Are his wits safe?
And I am Brutus, Marcus Brutus, I!	I am Brutus, Marcus Brutus, I!
And therefore haste away, For we must measure twenty miles today.	We must be able to measure twenty miles today.
And even now, but now, This house, these servants, and this same myself Are yours, my lord’s.	And now, this house, these servants, and this same myself are yours, my lord.
And yet complainest thou of obstruction?	And yet you complain of obstruction?
Ah, welladay!	Ah, well, today!
Advise your fellows so.	Do not ask your fellows to do so.
Advantage is a better soldier than rashness.	Advantage is a better soldier than rashness.
And so in me, and so, I think, in all.	I think I am all about it.
Alack, sir, he is mad.	He is mad.
Are you content to stay?	Are you content to stay?
Anon!	Anon!
A good knave.	A good knave.
Are you our daughter?	Are you our daughter?
And whatsoever else shall hap tonight, Give it an understanding, but no tongue.	If you are going to be hapless tonight, give it a good understanding, but no tongue.
Alexas!	Alexas!
And have you mercy too!	Have mercy too!
A right fair mark, fair coz, is soonest hit.	The right mark, fair coz, is the first hit.
An adder did it, for with doubler tongue Than thine, thou serpent, never adder stung.	An adder did it, because with a doubler tongue than you, you serpent, never stung the adder.
A man no mightier than thyself or me In personal action, yet prodigious grown, And fearful as these strange eruptions are.	A man no more mighty than you or me in personal action, yet a man who is a little ill-tempered and afraid of these strange eruptions.
Alas, how shall this bloody deed be answered?	How will this bloody act be answered?
And thus it may be.	It may be.
And Cassio killed!	Cassio was killed!
And look to have it yielded with all kindness.	Look for it to be done with kindness.
And for my name of George begins with  It follows in his thought that I am he.	My name of George begins with his thought that I am him.
A good direction, warlike sovereign.	A good direction, warlike sovereign.
And I for Ganymede.	I am for Ganymede.
And squabble?	And squabble?
And thou must make a dullard of the world, If they not thought the profits of my death Were very pregnant and potential spirits To make thee seek it.”    O strange and fastened villain!	You must make a dullard of the world, if they didn’t think the profits of my death were very pregnant and potential spirits would make you want it.
A fig!	A fig!
A poor virgin, sir, an ill-favored thing, sir, but mine own.	A poor virgin, sir, an ill-favored thing, sir, but mine own.
And let her speak of me before her father.	Let her speak of me before her father.
And when I shall die, Take him and cut him out in little stars, And he will make the face of heaven so fine That all the world will be in love with night And pay no worship to the garish sun.	When I die, take him and cut him out in tiny stars, and he will make the face of heaven so fine that all the world will be in love with night and pay no worship to the sun.
Ah, Juliet, if the measure of thy joy Be heaped like mine, and that thy skill be more To blazon it, then sweeten with thy breath This neighbor air, and let rich music’s tongue Unfold the imagined happiness that both Receive in either by this dear encounter.	If you are a little more than mine, you will be able to blaspherically blaspherical, then you will be able to savour this neighbor air with your breath and let the
Age, thou art shamed!	Age, you are shamed!
All’s hushed as midnight yet.	All is still hushed as midnight.
An honest mind and plain, he must speak truth.	He is honest and clear.
And did you see the handkerchief?	Did you see the handkerchief?
Against all rules of nature, and must be driven To find out practices of cunning hell Why this should be.	It is not a good idea to do so.
And Benedick is not the unhopefulest husband that I know.	Benedick is not the unhopefulest husband I know.
And if you wrong us, shall we not revenge?	If you wrongly do, will we not be revenge?
And so farewell.—Katherina, you may stay, For I have more to commune with Bianca.	You may stay, because I have more to share with Bianca.
A thousand thousand!	A thousand thousand!
And then came Pyramus.	Pyramus came to the rescue.
An if they live, I hope I need not fear.	If they live, I hope I won’t have to worry.
And we understand him well, How he comes o'er us with our wilder days, Not measuring what use we made of them.	We understand him well, how he comes to us with our wilder days, not measuring what we made of them.
And for the Jew’s bond which he hath of me, Let it not enter in your mind of love.	For the Jew’s bond that he has of me, let it not enter your mind of love.
Ah, my good lord, what have I seen tonight!	Oh, my good lord, what have I seen tonight?
And what say’st thou then to my love?	What do you mean to my love?
An angel is like you, Kate, and you are like an angel.	An angel is like you, Kate, and you are like an angel.
And till the tears that she hath shed for thee Like envious floods o'errun her lovely face, She was the fairest creature in the world— And yet she is inferior to none.	She was the fairest creature in the world, and yet she is inferior to none.
All may be well; but if God sort it so, 'Tis more than we deserve or I expect.	If God does it, he will say, "It is more than we deserve or I expect."
And make him with fair Ægles break his faith, With Ariadne and Antiopa?	And make him break his faith with fair gles, with Ariadne and Antiopa?
and but I be deceived, Signior Baptista may remember me, Near twenty years ago, in Genoa, Where we were lodgers at the Pegasus.	I was tipped off by Signior Baptista, who was a lodger at the Pegasus.
And you too, sir.	You too, sir.
After so long grief, such nativity!	After so long grief, such a nativity!
All that I will tell you is that the duke hath dined.	I will tell you that the duke has eaten.
And they have conspired together.	They have conspired together.
Amen!	Amen!
Ah sir, ah sir.	Ah sir, ah sir.
And I remember the wooing of a peascod instead of her, from whom I took two cods and, giving her them again, said with weeping tears, “Wear these for my sake.” We that are true lovers run into strange capers.	I remember the wooing of a peascod instead of her, from whom I took two cods and gave her them again, saying, “Wear these for my sake.” We who are true lovers run into strange cap
And but my noble Moor Is true of mind and made of no such baseness As jealous creatures are, it were enough To put him to ill thinking.	My noble Moor is true of mind and made of no such baseness as jealous creatures.
And there were drawn Upon a heap a hundred ghastly women, Transformèd with their fear, who swore they saw Men all in fire walk up and down the streets.	There were a hundred ghastly women, transformed with their fear, who swore they saw men in fire walk up and down the streets.
Answer me in one word.	Answer me in one word.
A dollar.	A dollar.
After my death, the one half of my lands, And, in possession, twenty thousand crowns.	After my death, the half of my land, and twenty thousand crowns in possession.
Ah, let be, let be!	Let’s go, let’s go!
Alack the day, I know you not, young gentleman.	I know you are not, young gentleman.
A sailor’s wife had chestnuts in her lap, And munched, and munched, and munched.	A sailor’s wife had chestnuts in her lap, and munched and munched.
A fox when one has caught her And such a daughter Should sure to the slaughter, If my cap would buy a halter.	A fox when one has caught her and a fox should be slaughtered, if my cap would buy a halter.
A lady, sir, though it was said she much resembled me, was yet of many accounted beautiful.	A lady, sir, who was said to have much similar to me, was yet to be found beautiful.
And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.	He has given his praises to his speech, my lord, with almost all the holy vows of heaven.
A fiend like thee might bear my soul to hell.	A fiend like you might bear my soul to hell.
Adieu.	Adieu.
And for the sake of them thou sorrowest for, Do me the favour to dilate at full What hath befall'n of them and thee till now.	For the sake of them you are sorrowful for, do me the favor to dilate at full what has happened to them and you.
And yet I do thee wrong to mind thee of it, For thou art framed of the firm truth of valor.	I do not want to mind you, because you are framed by the truth of valor.
And I pray God grant them a fair departure.	I pray God will give them a fair departure.
And so fare thee well.	You will be happy.
All my reports go with the modest truth, Nor more, nor clipped, but so.	All my reports are based on the modest truth, and I do not have more, nor clipped it.
All’s one.	All is one.
A most ridiculous monster, to make a wonder of a poor drunkard.	A ridiculous monster, to make a wonder of a poor drunkard.
And here’s another, Writ in my cousin’s hand, stol'n from her pocket, Containing her affection unto Benedick.	Here is another, Writ in my cousin’s hand, stol'n from her pocket, containing her affection to Benedick.
And the creature run from the cur?	And the creature runs from the cur?
An you will not be answered with reason, I must die.	If you are not answered with reason, I will die.
A very mean meaning.	A very mean meaning.
And when your honors mean to solemnize The bargain of your faith, I do beseech you Even at that time I may be married too.	When you honor your faith, I will be glad you are married.
A peevish schoolboy, worthless of such honor, Joined with a masker and a reveler!	A peevish schoolboy, worthless of such honor, joined with a masker and a reveler.
A mighty strength they carry.	They are a powerful force.
And may not young men die as well as old?	Can young men not die as well as old?
And be not easily won to our requests.	Be easy to win over our requests.
And shall I couple hell?	Will I have hell?
Alas, their love may be called appetite, No motion of the liver, but the palate, That suffer surfeit, cloyment, and revolt; But mine is all as hungry as the sea, And can digest as much.	It is not the liver, but the palate, that suffers from cloying, and revolt.
And earthly power doth then show likest God’s When mercy seasons justice.	When mercy seasons justice, earthly power will show like God’s.
And then, sir, does he this, he does— What was I about to say?	And then, sir, does he that, he does.
A wretched soul, bruised with adversity We bid be quiet when we hear it cry, But were we burdened with like weight of pain, As much or more we should ourselves complain.	A wretched soul, bruised with adversity We want to be quiet when we hear it cry, but if we were burdened with a heavy weight of pain, we should ourselves complain.
And, Demetrius, The more you beat me, I will fawn on you.	And, Demetrius, the more you beat me, the more I will fawn on you.
And I for Rosalind.	I am for Rosalind.
A plague o' both your houses!	A plague o' both your houses!
And there assume some other horrible form, Which might deprive your sovereignty of reason And draw you into madness?	There is a horrible form that could deprive you of reason and draw you into madness.
And look you get a prayer book in your hand And stand between two churchmen, good my lord, For on that ground I’ll make a holy descant.	You get a prayer book in your hand and stand between two churchmen, good my lord, for on that ground I will make a holy descant.
And speak parrot?	And speak parrot?
A Cornish name.	A Cornish name.
And for my means, I’ll husband them so well, They shall go far with little.	I will be able to make sure they are so good, they will go far with little.
And in the morn and liquid dew of youth, Contagious blastments are most imminent.	In the midst of the slums of youth, the worst of the worst is a series of swollen blasts.
And tell the Dauphin His jest will savor but of shallow wit When thousands weep more than did laugh at it.	Tell the Dauphin that his jest will be a little shallow when thousands of people weep more than they laughed at it.
An I may hide my face, let me play Thisbe too!	If I can hide my face, let me play Thisbe too!
Alas, then she is drowned.	She is drowned.
Ah, dear, if I be so, From my cold heart let heaven engender hail, And poison it in the source, and the first stone Drop in my neck.	If I do, let heaven bring hail to my heart, and poison it in the source, and the first stone drops in my neck.
Alas, poor Romeo!	Poor Romeo!
And so doth mine.	Mine.
A devil, a born devil on whose nature Nurture can never stick, on whom my pains, Humanely taken, all, all lost, quite lost.	A devil, a born devil, whose nature is not able to survive, on whom my pains, humanely taken, all, all, all, all, all, all, all, all, quite lost
And badest me bury love.	I love you.
A great suspicion.	It is a great suspicion.
Alas, Malvolio, this is not my writing, Though, I confess, much like the character.	Alas, Malvolio, this is not my writing, although I confess I am much like the character.
Ah, do not tear away thyself from me!	Oh, don’t tear yourself away from me!
An if thou couldst, thou couldst not make him live.	If you could not, you could not make him live.
And art thou living, Stephano?	You live in the same way, Stephano?
A love song, a love song.	A love song, a love song.
And this may help to thicken other proofs That do demonstrate thinly.	This may help to thicken other proofs that do not show up.
Am I not stayed for?	Am I not staying for?
A most miraculous work in this good king, Which often since my here-remain in England I have seen him do.	I have seen him do it many times since I am here in England.
And every object that might make me fear Misfortune to my ventures out of doubt Would make me sad.	Every object that could make me fear Misfortune to my ventures out of doubt would make me sad.
And thither will I straight to visit him.	I will go straight to visit him.
All schooldays' friendship, childhood innocence?	All schooldays friendship, childhood innocence?
And leave us, Publius, lest that the people, Rushing on us, should do your age some mischief.	Leave us, Publius, so that the people who rushe on us will do some mischief.
