Anon!	Goodbye!
God’s bodykins, man, much better.	God’s bodykins are much better, man.
When were you wont to use my sister thus?	When were you going to use my sister like that?
I could not for my heart deny it him.	I couldn’t say anything about him.
For what purpose, love?	What purpose, love?
O no, my reasons are too deep and dead— Too deep and dead, poor infants, in their graves.	Oh no, my reasons are too deep and dead— Too deep and dead, poor infants, in their graves.
Is she not proud?	Isn’t she proud?
We are such stuff As dreams are made on, and our little life Is rounded with a sleep.	We’re like things that dream about, and our little life is rounded with a sleep.
Cassio shall have my place.	Cassio will have my place.
At nine i' th' morning here we’ll meet again.	At nine o'clock we’ll meet again.
His flight was madness.	His flight was insane.
And I as I love Hastings with my heart.	And I love Hastings with my heart.
I must talk a word with you.	I have to talk a word with you.
What devil art thou that dost torment me thus?	What devil are you who torture me like this?
This is the foul fiend Flibbertigibbet.	This is the foul fiend Flibbertigibbet.
Pardon, sweet father.	Pardon me, sweet father.
Will you yield and this avoid Or, guilty in defense, be thus destroyed?	Will you surrender and avoid this, or be so destroyed, guilty in defense?
Most noble sir, arise.	Most noble sir, come on.
I doubt some danger does approach you nearly.	I doubt some danger is approaching you.
Did you never see the picture of “We Three”?	Did you never see the picture of “We Three”?
A rarer spirit never Did steer humanity, but you gods will give us Some faults to make us men.	A rarer spirit never helped guide humanity, but you gods will give us some faults to make us men.
Of one not easily jealous, but being wrought, Perplexed in the extreme.	I’m not sure of someone who’s jealous, but who’s wrought it.
She that was ever fair and never proud, Had tongue at will and yet was never loud, Never lacked gold and yet went never gay, Fled from her wish and yet said “Now I may,” She that being angered, her revenge being nigh, Bade her wrong stay and her displeasure fly, She that in wisdom never was so frail To change the cod’s head for the salmon’s tail, She that could think and ne'er disclose her mind, See suitors following and not look behind, She was a wight, if ever such wights were— To do what?	She was always fair and never proud, had tongue at will and was never loud, never lacked gold and yet went never gay, fled from her wish and said “Now I can,” she was angry, her revenge being 
Not mad, but bound more than a madman is, Shut up in prison, kept without my food, Whipped and tormented and—Good e'en, good fellow.	Not insane, but bound more than a madman is, Shut up in prison, kept without food, whipped and tormented and—Good e'en, good fellow.
But ships are but boards, sailors but men.	But ships are only boards, sailors are only men.
Of that there’s none, or little.	Of that there’s no, or little.
This is some fellow, Who, having been praised for bluntness, doth affect A saucy roughness and constrains the garb Quite from his nature.	This is some man, who, after being praised for his bluntness, affects a saucy roughness and constrains the snoring from his nature.
He received them Of him that brought them.	He received them from the man who brought them.
The Dauphin longs for morning.	The Dauphin is waiting for morning.
Words, words, words.	Words, words, words.
There’s no art To find the mind’s construction in the face.	There’s no way to find the mind’s shape in the face.
Now Lord be thanked for my good amends!	Now Lord, thank you for my good work!
The little strength that I have, I would it were with you.	I wish I could have the little strength I have with you.
Nay then, I will not.	No, then, I won’t.
I pity you.	I’m sorry you were.
I was born free as Caesar.	I was born as free as Caesar.
One, sir, that for his love dares yet do more Than you have heard him brag to you he will.	I’m saying that he dares to do more than you’ve heard him brag about you.
At the duke’s oak we meet.	We’re at the duke’s oak.
If his fitness speaks, mine is ready, now or whensoever, provided I be so able as now.	If he’s a good man, I’ll be ready, either now or when I’m ready, if I’m as capable as I am now.
Hie to high fortune!	Go to high fortune!
I am not married, Caesar.	I’m not married, Caesar.
So smooth he daubed his vice with show of virtue That, his apparent open guilt omitted— I mean his conversation with Shore’s wife— He lived from all attainder of suspects.	He swore his innocence so well that he escaped his guilt—I mean his conversation with Shore’s wife—and lived from all angles as a suspect.
Your Honor’s players, hearing your amendment, Are come to play a pleasant comedy, For so your doctors hold it very meet, Seeing too much sadness hath congealed your blood, And melancholy is the nurse of frenzy.	Your Honor’s players are coming to play a pleasant comedy, because your doctors are very happy with it, and Seeing too much sadness has congealed your blood, and melancholy is the nurse of frenzy
O perdurable shame!	Oh, shameful!
O, train me not, sweet mermaid, with thy note To drown me in thy sister’s flood of tears.	Oh, don’t train me, sweet mermaid, to drown me in your sister’s tears.
Twas a rough night.	It was a rough night.
A messenger from the galleys.	A messenger from the galleys.
Say, what?	What?
Is he married?	Is he married?
What kind of woman is’t?	What kind of woman is she?
For what purpose, love?	What purpose, love?
Nay, then, thou mock’st me.	No, then, you’re mocking me.
A charge we bear i’ th’ war, And as the president of my kingdom will Appear there for a man.	We’re fighting for a man, and as the president of my kingdom, we’ll be there for a man.
Yet, coming from him, that great med’cine hath With his tinct gilded thee.	But coming from him, that great med’cine has gilded you with his tincture.
Graces will appear, and there’s an end.	Graces will appear, and there’s an end.
Why, God will send more, if the man will be thankful.	God will send more people, if he’s thankful.
When we are born, we cry that we are come To this great stage of fools.	When we’re born, we cry that we’re coming to this great stage of fools.
One, gentlewoman, that God hath made, himself to mar.	God has made himself a man, gentlewoman, to be a martyr.
This night—wherein the cub-drawn bear would couch, The lion and the belly-pinchèd wolf Keep their fur dry—unbonneted he runs, And bids what will take all.	This night—where the cub-drawn bear would couch, the lion and the belly-pinched wolf would keep their fur dry—he runs unbeaten and asks what will take all of it.
Hark, they roar.	Listen, they roar.
His own unkindness That stripped her from his benediction turned her To foreign casualties, gave her dear rights To his dog-hearted daughters.	His unkindness that stripped her of his benediction turned her to foreign casualties, gave her dear rights to his dog-hearted daughters.
Have you got leave to go to shrift today?	Have you got permission to go to shrift today?
Can heaven be so envious?	Can heaven be so envious?
You call me misbeliever, cutthroat dog, And spet upon my Jewish gaberdine— And all for use of that which is mine own.	You call me a misbeliever, a cutthroat dog, and scold my Jewish lord—and all for using what I own.
Approach the chamber, and destroy your sight With a new Gorgon.	Take the chamber and destroy your sight with a new Gorgon.
Despised, distressèd, hated, martyred, killed!	Despised, distressed, hated, martyred, killed!
Stand far off.	Stand far away.
Behold and see.	Look and see.
I pray you, pardon me.	Please pardon me.
Here comes the man you mean.	Here comes the man you mean.
Pray God it be, sir.	Please, sir.
A wandering knight?	A wandering knight?
The lamentable change is from the best; The worst returns to laughter.	The worst changes are coming to laughter.
But what prevention?	But what’s going on?
If there be truth in sight, you are my Rosalind.	If there’s truth in sight, you’re my Rosalind.
That head, my lord?	That head, my lord?
Whate'er thou art, for thy good caution, thanks.	Thank you, for your good advice.
They call it Agincourt.	They call it Agincourt.
Oh, here’s a wit of cheveril, that stretches from an inch narrow to an ell broad!	Oh, here’s a wit of cheveril, that’s all from an inch narrow to an ell broad!
Therefore love moderately.	So love it moderately.
Though it appear a little out of fashion, There is much care and valor in this Welshman.	Even though it’s a little out of fashion, this Welshman has a lot of care and courage.
Some innocents ’scape not the thunderbolt.	Some innocents don’t escape the thunderbolt.
Do as I bid you.	Do what I told you.
It shall be seven ere I go to horse.	It will be seven years before I go to horse.
O thou good Kent, how shall I live and work To match thy goodness?	Oh, Kent, how will I live and work to match your goodness?
If it be man’s work, I’ll do ’t.	If it’s a man’s work, I’ll do it.
There was more foolery yet, if I could remember it.	There was more foolery to do, if I could remember it.
Oh, was she so?	Oh, was she?
I saw Othello’s visage in his mind, And to his honors and his valiant parts Did I my soul and fortunes consecrate.	I saw Othello’s face in his mind, and I swore my soul and my fortunes to his honors and his valiant parts.
I will hide me in the arbor.	I’ll hide in the arbor.
Away, go!	Go!
Then if we lose this battle You are contented to be led in triumph Thorough the streets of Rome?	Then if we lose this battle, you’re contented to be led in triumph in the streets of Rome?
Methinks you are too much of late i' th' frown.	I think you’re getting too angry late.
Follow”?	Follow”?
Pardon, my lord.	Pardon me, my lord.
Count the clock.	Count the clock.
News from Verona!—How now, Balthasar?	News from Verona!—How are you, Balthasar?
Worse and worse.	Worse and worse.
In happy time, Iago.	I’m here, Iago.
But what see I?	But what do you see?
Imperious Caesar, dead and turned to clay, Might stop a hole to keep the wind away.	Imperious Caesar, dead and turned to clay, could stop a hole to keep the wind away.
Ay, that Petruchio came.	Yes, Petruchio.
Give you good morrow.	Good morning.
Tis torture and not mercy.	It’s torture and not mercy.
If thou follow him, thou must needs wear my coxcomb.—How now, nuncle?	If you follow him, you’ll have to wear my coxcomb.—How are you, uncle?
Let us to the field.	Let’s go to the field.
I would she were in heaven, so she could Entreat some power to change this currish Jew.	I wish she were in heaven so she could take some power to change this currish Jew.
Cross him in nothing.	Don’t cross him in nothing.
There be some such, no question.	There are some such things, no question.
Ha, ha!	Ha, ha!
Me, poor man, my library Was dukedom large enough.	My library was large enough to be dukedom.
Let me have surgeons.	Let me have surgeons.
Oh, that’s a brave man.	Oh, that’s a brave man.
I’ll grow a talker for this gear.	I’ll become a talker for this gear.
Meantime I writ to Romeo, That he should hither come as this dire night, To help to take her from her borrowed grave, Being the time the potion’s force should cease.	I writ to Romeo, if he came here as a terrible night, to help take her from her borrowed grave, as soon as the potion’s force stopped.
I take this offer then: pay the bond thrice And let the Christian go.	I’ll give you this offer: pay the debt three times and let the Christian go.
What would my lord, but that he may not have, Wherein Olivia may seem serviceable?	What would my lord do, but he may not have, where Olivia might seem to be a good friend?
Why, love, I say.	Love, I say.
Some good I mean to do Despite of mine own nature.	I’m going to do some good, even though I’m not.
Fie, sir, fie!	Oh, sir, sir!
I would therefore my sister had no name, sir.	So I wish my sister had no name, sir.
Spoke like an officer!	Spoke like an officer!
Hadst thou no poison mixed, no sharp-ground knife, No sudden mean of death, though ne'er so mean, But “banishèd” to kill me?—“Banishèd”!	If you had no poison mixed, no sharp knife, no sudden death, even though it’s not so mean, but “banished” to kill me?—“Banished”!
No?	No?
I made no such report.	I didn’t make any such report.
Oh, misery!	Oh, misfortune!
But what say you to Thursday?	But what do you say to Thursday?
Tis almost morning.	It’s almost morning.
By the world, I think my wife be honest and think she is not.	I think my wife is honest and doesn’t think she is.
What’s this?	What’s this?
Touch me not so near.	Don’t touch me so close to me.
But are you sure That Benedick loves Beatrice so entirely?	But are you sure that Benedick loves Beatrice so much?
I will seek him, sir, presently, convey the business as I shall find means, and acquaint you withal.	I’ll seek him, sir, and tell you what I’ll do.
I will be deaf to pleading and excuses.	I’ll be deaf to pleading and excuses.
And fixed his eyes upon you?	And he fixed his eyes on you?
By no means” what?	No, “what?
There are my keys.—But wherefore should I go?	There are my keys.—But why should I go?
Use it for my love some other way than swearing by it.	Use it for my love some other way than swear by it.
But do not look for further recompense Than thine own gladness that thou art employed.	But don’t look for more compensation than your own happiness.
Tis a shrewd doubt, though it be but a dream.	It’s a shrewd doubt, even though it’s just a dream.
Dissolve, thick cloud, and rain, that I may say The gods themselves do weep!	Dissolve, thick cloud, and rain so I can say the gods themselves weep!
What shall become of this?	What will happen from this?
Mark me.	Mark me.
But I pray you, who is his companion?	But please, who is his companion?
Ask for me tomorrow, and you shall find me a grave man.	Ask for me tomorrow, and you’ll find me in a grave.
Why, i' faith, methinks she’s too low for a high praise, too brown for a fair praise, and too little for a great praise.	I think she’s too low for a high praise, too brown for a fair praise, and too little for a great praise.
Caesar is sad, and Lepidus, Since Pompey’s feast, as Menas says, is troubled With the greensickness.	Caesar is sad, and Lepidus is troubled since Pompey’s feast, Menas says, is plagued with greensickness.
I long that we were safe and sound aboard.	I’ve been waiting for you to be safe and sound aboard.
The bloody proclamation to escape, That followed me so near—O our lives' sweetness,	The bloody proclamation to escape, that followed me so close—Once we’re in our lives,
I’ll talk with this good fellow.	I’ll talk to this good man.
Why, sir, I brought you word an hour since that the bark  The fellow is distract, and so am I, And here we wander in illusions.	I’ve brought you a word an hour ago that the bark of the fellow is distracting, and so am I, and here we wander in illusions.
Our power is ready; Our lack is nothing but our leave.	Our power is ready; our lack is nothing but our leave.
God be wi' you and keep you and heal your pate.	God be quiet and keep you and heal your wounds.
Then, window, let day in and let life out.	Then, window, let day in and let life go.
She knows the heat of a luxurious bed.	She knows the heat of a luxurious bed.
In such a night as this!	In such a night as this!
Nothing, my lord.	Nothing, my lord.
Speak.	Speak.
Hast thou met with him?	Have you met him?
Followed the old man forth.	Followed the old man out.
The heavens themselves blaze forth the death of princes.	The heavens themselves have blazed up the death of princes.
Three times today my foot-cloth horse did stumble, And started when he looked upon the Tower, As loath to bear me to the slaughterhouse.	Three times today my foot-cloth horse stumbled, and started when he looked at the Tower, as if he was loathed to bring me to the slaughterhouse.
Good, good.	Good, good.
With anger, with sickness, or with hunger, my lord, not with love.	With anger, with sickness, or with hunger, my lord, not with love.
Dead.	Dead.
You are almost come to part almost a fray.	You’ve almost come to a fight.
If his cause be wrong, our obedience to the king wipes the crime of it out of us.	If he’s wrong, we’re ignoring the king’s crime.
Live a little, comfort a little, cheer thyself a little.	Live a little, comfort a little, and cheer yourself a little.
Macbeth!	Macbeth!
I think thou art an ass.	I think you’re an ass.
I pray you, let me see it.	Please let me see it.
The arbitrament is like to be bloody.	The arbitrament is like a bloody battle.
Go thrust him out at gates, and let him smell His way to Dover.	Go thrust him out of the gates and let him smell his way to Dover.
I’ll rather kill myself.	I’d rather kill myself.
Your Grace does me as great honors as can be desired in the hearts of his subjects.	Your Grace honors me as much as it can be desired in his subjects’ hearts.
So I, to find a mother and a brother, In quest of them, unhappy, lose myself.	So I lose myself, to find a mother and a brother, and to find them unhappy, and find them.
Believe me, lord, I think he cannot choose.	Believe me, lord, I think he can’t choose.
Thus I mend it: Time himself is bald and therefore, to the world’s end, will have bald followers.	I’ll do it again.
But ’tis a spirit.	But it’s a spirit.
These things sting His mind so venomously that burning shame Detains him from Cordelia.	He’s so sane that he’s stealing from Cordelia.
How if I answer “No”?	What if I answered “No”?
Why, how now, cousin!	What’s going on, cousin?
If love have touched you, naught remains but so:   Gramercies, lad, go forward.	If love has touched you, nothing remains as good as that: Gramercies, lad, go ahead.
Her father’s brother Would be her lord?	Her father’s brother would be her lord?
I’ll follow thee and make a heaven of hell, To die upon the hand I love so well.	I’ll follow you and make a heaven of hell, to die on the hand I love so much.
Now heaven walks on earth.	Now heaven’s on earth.
Fortune and Antony part here.	Fortune and Antony are part of this group.
I had rather than forty pound I were at home.	I’d rather be than forty pounds at home.
News, lads, Our wars are done!	News, boys, our wars are over!
Stop it, Marcellus.	Stop it, Marcellus.
How, will she none?	How, will she ever be?
Thou wilt fall backward when thou comest to age.	You’ll fall backward when you get older.
I will be strange, stout, in yellow stockings, and cross-gartered, even with the swiftness of putting on.	I’ll be strange, stout, in yellow stockings, and cross-gartered, even with the rapidness of putting on.
Shall I believe That unsubstantial death is amorous, And that the lean abhorrèd monster keeps Thee here in dark to be his paramour?	Shall I believe that death is amorous, and that the evil monster keeps you here in dark to be his paramour?
He and Lepidus are at Caesar’s house.	He and Lepidus are at Caesar’s house.
My heart is thirsty for that noble pledge.	My heart is thirsty for that noble promise.
His taints and honors Waged equal with him.	His taints and honors were equal to him.
Why, true, he means to make a puppet of thee.	Yes, he’s going to make you a puppet.
I’ll lay fourteen of my teeth—and yet, to my teen be it spoken, I have but four—she is not fourteen.	I’ll lay fourteen of my teeth—and yet, to my teen, I have only four—she’s not fourteen.
Warrant thee, my man’s as true as steel.	Yes, my man’s as true as steel.
My lord?	My lord?
How I dote on thee!	How I do it!
I am the greatest, able to do least, Yet most suspected, as the time and place Doth make against me, of this direful murder.	I’m the greatest, capable of the least, but I’ve been suspected, as time and place as I am against me, of this terrible murder.
But come thy ways.	But come on.
Why, what are you?	What are you doing?
But it is true, without any slips of prolixity or crossing the plain highway of talk, that the good Antonio, the honest Antonio—oh, that I had a title good enough to keep his name company!—  Come, the full stop.	But it’s true that the good Antonio, the honest Antonio—oh, I had a title good enough to keep his name company!—Come on, the full stop.
Oh, much I fear some ill unthrifty thing.	Oh, I’m afraid some ill-looking thing.
I do not find that thou deal’st justly with me.	I don’t think you’re dealing with me justly.
Then comes the time, who lives to see ’t, That going shall be used with feet.	Then comes the time, who lives to see it, that going will be used with feet.
Twice then the trumpets sounded, And there I left him tranced.	Then the trumpets sounded twice, and I left him tranced.
Therefore all hearts in love use their own tongues.	Therefore, all lovers use their own tongues.
I see you do not mean to part with her, Or else you like not of my company.	I see you don’t want to join her, or else you don’t like my company.
Tis hot, it smokes.	It’s hot, it’s smokey.
I slept the next night well, fed well, was free and merry.	I slept the next night well, fed well, was free and merry.
Both which, Master Constable— You have.	Both of which, Master Constable— You have.
But sure I fear we shall not win him to it.	But I’m sure we won’t win him to it.
And death, not Romeo, take my maidenhead!	And death, not Romeo, take my bridehead!
This house is little.	This house is little.
What is ’t you say?	What do you say?
Doth she not count her blessed, Unworthy as she is, that we have wrought So worthy a gentleman to be her bride?	Doesn’t she count her blessed, unworthy, lady that we have made such a worthy gentleman to be her bride?
And died so?	And that’s what happened?
And now I’ll do ’t.	And now I’ll do it.
Upon mine honor, sir, I heard a humming, And that a strange one too, which did awake me.	I heard a humming, and a strange one, which awakened me.
Had he a hand to write this, a heart and brain to breed it in?	Had he a hand to write this, a heart and a brain to make it into?
I never may believe These antique fables nor these fairy toys.	I can’t believe any of these antique fables or fairy toys.
I would the fool were married to her grave!	I wish the fool were married to her grave!
He cannot live, I hope, and must not die Till George be packed with post-horse up to heaven.	He can’t live, I hope, and he can’t die until George’s packed with a savage savage up to heaven.
Then comes my fit again.	Then I’ll be back.
Nothing.	Nothing.
He is well paid that is well satisfied.	He’s well paid and is well satisfied.
Ay, and the time seems thirty unto me, Being all this time abandoned from your bed.	Yes, and the time seems to be thirty years old, since you’ve been left out of your bed all this time.
While he was yet in Rome His power went out in such distractions as Beguiled all spies.	While he was still in Rome, his power was out of control, as if he had snorted all spies.
And I must Rid all the sea of pirates, then, to send Measures of wheat to Rome.	And then I must go to the sea to send me wheat to Rome.
For your father’s remembrance, be at accord.	For your father’s memory, be patient.
Thou didst drink The stale of horses and the gilded puddle Which beasts would cough at.	You drank the stale of horses and the gilded puddle that beasts would cough at.
Prepare we for our marriage; on which day, My Lord of Burgundy, we’ll take your oath, And all the peers', for surety of our leagues.	We’ll be ready for our marriage, my Lord of Burgundy, and all the other men’s wives, for sure of our marriage.
Pray you, keep seat.	Please, keep your seat.
Tis strange, strange.	It’s strange, strange.
If she convey Letters to Richmond, you shall answer it.	If she sends letters to Richmond, you’ll answer it.
Ay, marry, why was he sent into England?	Yes, marry, why was he sent into England?
I’ll go and chat with Paris.	I’ll go and chat with Paris.
I am not I if there be such an  Or those eyes shut that makes thee answer “ay.” If he be slain, say “ay,” or if not, “no.” Brief sounds determine of my weal or woe.	I don’t know if there’s a man like that or those eyes shut that make you answer “yes.” If he’s killed, say “yes,” or if not, “no.” Brief sounds determine
Some that will evermore peep through their eyes And laugh like parrots at a bagpiper, And other of such vinegar aspect That they’ll not show their teeth in way of smile Though Nestor swear the jest be laughable.	Some people who will peep through their eyes and laugh like parrots at a bagpiper, and other of such vinegar that they won’t smile with their teeth, even though Nestor swears the jest is
Is thy name William?	Is your name William?
And, you know, his means, If he improve them, may well stretch so far As to annoy us all; which to prevent, Let Antony and Caesar fall together.	And you know, if he improves his skills, he’ll be able to make us all angry.
Two of the fairest stars in all the heaven, Having some business, do entreat her eyes To twinkle in their spheres till they return.	Two of the fairest stars in all the heavens, who have some business, are begging her eyes to twinkle in their spheres until they return.
Therefore my merchandise makes me not sad.	So my clothes don’t make me sad.
I humbly take my leave.	I’m humbly leaving.
I have ever held my cap off to thy fortunes.	I’ve always been able to keep my cap off to your fortunes.
Now to you.	Now go to you.
Hear me, recreant!	Listen to me, recreant!
Grief of my son’s exile hath stopped her breath.	My son’s exile has stopped her breath.
He that is robbed, not wanting what is stol'n, Let him not know’t, and he’s not robbed at all.	If he’s been robbed, don’t let him know what he’s doing, and he’s not robbed at all.
The watchdogs bark.	The watchdogs bark.
As the cony that you see dwell where she is kindled.	As the cony you see, she’s smothered.
That did I, my lord, and was accounted a good actor.	I did, my lord, and I was a good actor.
What judgment shall I dread, doing no wrong?	What judgment should I do if I didn’t do anything wrong?
Is ’t true?	Is that true?
No, sir, I say his horse comes, with him on his back.	No, sir, I say his horse comes with him on his back.
Methinks I see my cousin’s ghost Seeking out Romeo, that did spit his body Upon a rapier’s point.	I think I see my cousin’s ghost looking for Romeo, who spit his body on a rapier’s point.
Locked in her monument.	Locked in her tomb.
Come out o' th' storm.	Come out of the storm.
You have no stomach, Signior.	You don’t have any stomach, sir.
Well, sir.	Well, sir.
Before God, and in my mind, very wise.	I think God is very wise.
Alas, poor Harry of England!	Oh, poor Harry of England!
No such jade as you, if me you mean.	No one like you, if you mean me.
I am glad to see you well.— Horatio?	I’m glad to see you well.—Horatio?
Then shall we find tomorrow they have only stomachs to eat and none to fight.	Then tomorrow we’ll find that they have only stomachs to eat and none to fight.
It was.	It was.
It shall be called “Bottom’s Dream” because it hath no bottom.	It’s not a bottom.
Some dungeon.	A little dungeon.
So we grew together, Like to a double cherry—seeming parted But yet an union in partition— Two lovely berries molded on one stem;	So we grew together like a double cherry—she’s seen dividing up, but still dividing up—two lovely berries on one stem;
A right fair mark, fair coz, is soonest hit.	Then the right one is hit the most quickly.
Is it so nominated in the bond?	Is it so nominated in the contract?
To find out you.	To find you.
That it would please you leave these sad designs To him that hath more cause to be a mourner, And presently repair to Crosby House, Where, after I have solemnly interred At Chertsey monast'ry this noble king And wet his grave with my repentant tears, I will with all expedient duty see you.	I would like you to leave these sad plans to him who has more reason to be a mourner, and to repair it to Crosby House, where, after I have solemnly interred at Chertsey
Oh, villain!	Oh, villain!
But there’s no bottom, none, In my voluptuousness.	But I’m not a fan of the bottom line, and I’m not.
What art thou, fellow?	What are you, fellow?
Too long a pause for that which you find there.	It’s too long for the things you’re looking for.
What, ho!	Oh, what!
May not one speak?	Can’t one speak?
What soldiers, patch?	What soldiers, patch?
O sir, pardon me!	Oh sir, pardon me!
Why should he stay, whom love doth press to go?	Why should he stay, whom love wants to go?
Signor Bassanio, hear me.	Signor Bassanio, listen to me.
Company is coming here.	Company is coming.
Vile earth, to earth resign.	Let’s go to earth.
But heavenly Rosalind!	But heavenly Rosalind!
I marvel your ladyship takes delight in such a barren rascal.	I’m amazed your ladyship is enjoying such a barren rascal.
Give mine the benefit of seigniory, And let my griefs frown on the upper hand.	Give me the benefit of severiory, and let my grief scream on the upper hand.
There will we dine.	We’ll eat there.
Tis not for gravity to play at cherry-pit with Satan.	It’s not for gravity to play at the cherry-pit with Satan.
Wherefore!	Why?
And stay, good Nurse.	And stay, good Nurse.
Come, bring me unto my chance.	Come on, bring me to my chance.
Tis something, nothing: 'Twas mine, ’tis his, and has been slave to thousands.	It’s something, nothing: it was mine, it’s his, and has been slave to thousands.
These are counselors That feelingly persuade me what I am.” Sweet are the uses of adversity, Which, like the toad, ugly and venomous, Wears yet a precious jewel in his head.	These are counselors who persuade me to be what I am.” Sweet are the uses of adversity, which, like the toad, ugly and venomous, has a precious jewel in
Oh, that you bore The mind that I do, what a sleep were this For your advancement!	Oh, that you bore the mind that I do, what a sleep you had for your advancement!
If we are like you in the rest, we will resemble you in that.	If we’re like you in the rest of the world, we’ll look like you in that.
Fie on her!	Go on her!
What is your tidings?	What are your thoughts?
If this young gentleman Have done offence, I take the fault on me.	If this young gentleman has offended me, I’ll blame you.
Fear not, Baptista, we will content you.	Don’t worry, Baptista, we’ll be happy to help you.
Your brother is but young and tender, and, for your love I would be loath to foil him, as I must for my own honor if he come in.	Your brother is only young and tender, and I’d be loath to foil him for your love, as I must for my own honor if he came in.
Tis they have put him on the old man’s death, To have th' expense and spoil of his revenues.	They’ve put him on the death of the old man, to have his money and his money ruined.
Ay, and I’ll give them him without a fee.	Yes, and I’ll give them him free of charge.
Haply a woman’s voice may do some good, When articles too nicely urged be stood on.	A woman’s voice may do some good when she is begging for something too good.
Nod to him, elves, and do him courtesies.	Go to him, elves, and do him courtesies.
Upon your sword Sit laurel victory, and smooth success Be strewed before your feet.	Upon your sword, win the laurel and be beaten up before your feet.
And you must cut this flesh from off his breast.	And you have to cut this flesh from his breast.
If she do bid me pack, I’ll give her thanks, As though she bid me stay by her a week.	If she wants me to pack, I’ll thank her, as if she wanted me to stay by her for a week.
Let her alone.	Leave her alone.
Our fears in Banquo Stick deep, and in his royalty of nature Reigns that which would be feared.	Our fears in Banquo are deep, and his nature’s royalty is reigning the fear that would be feared.
For if thou dost intend Never so little show of love to her, Thou shalt aby it.	If you want to never show her so much love, you’ll be surprised by it.
Fine, i' faith!	Good, I’m sure!
Teach it but how, And thou shalt see how apt it is to learn Any hard lesson that may do thee good.	Teach it only how, and you’ll see how apt it is to learn any hard lesson that can do you good.
Now do I see ’tis true.	Now I see it’s true.
Signior Lodovico?	Signior Lodovico?
Where do I dwell?	Where do I live?
A friend.	A friend.
And is ’t not to be damned To let this canker of our nature come In further evil?	And isn’t it damning to let this canker of our nature come into further evil?
If you go on thus, you will kill yourself, And ’tis not wisdom thus to second grief Against yourself.	If you’re going on this journey, you’ll kill yourself.
The meat was well, if you were so contented.	The meat was good if you were so happy.
He only lived but till he was a man, The which no sooner had his prowess confirmed In the unshrinking station where he fought, But like a man he died.	He only lived until he was a man, which no sooner had his strength confirmed in the unshrinking station where he fought, but he died like a man.
I will be more jealous of thee than a Barbary cock- pigeon over his hen, more clamorous than a parrot against rain, more newfangled than an ape, more giddy in my desires than a monkey.	I’ll be jealous of you more than a Barbary cock-pigeon over his hen, more clamorous than a parrot against rain, more newfangled than an ape, more 
Good sir—	Good sir—
Death and damnation!	Death and damnation!
God 'ild you for your last company.	God bless you for your last day.
I pray thee, overname them.	Please, overname them.
Therefore I do advise you, take this note.	So please, take this note.
Indeed, upon my sword, indeed.	Yes, on my sword.
But though we think it so, it is no matter.	But even if we think so, it doesn’t matter.
How should they, when that wise men have no eyes?	How should they, when wise men don’t have eyes?
But all this did I know before.	But I knew all this before.
Indeed, I never shall be satisfied With Romeo, till I behold him—dead— Is my poor heart for a kinsman vexed.	I’ll never be satisfied with Romeo until I see him—dead—is my poor heart for a king.
No, it is struck.	No, it’s struck.
Lucentio!	Lucentio!
They did entreat me to acquaint her of it, But I persuaded them, if they loved Benedick, To wish him wrestle with affection And never to let Beatrice know of it.	They told me to tell her about it, but I convinced them, if they loved Benedick, to wish him a fight with affection and never let Beatrice know about it.
Who is conductor of his people?	Who is the conductor of his people?
Thanks for that.	Thanks for that.
With his own bolt;     the strong-based promontory Have I made shake, and by the spurs plucked up The pine and cedar; graves at my command Have waked their sleepers, oped, and let 'em forth By my so potent art.	With his own bolt, I’ve shaken the sand and spucked the pine and cedar by the spurs, and I’ve spucked up the graves at my command, and I’ve
Three in Egypt Cannot make better note.	Three people in Egypt can’t make a better note.
Ay, that he did.	Yes, that’s what he did.
Go, good Tubal.	Go, Tubal.
She lives.	She lives.
And say besides that in Aleppo once, Where a malignant and a turbaned Turk Beat a Venetian and traduced the state, I took by the throat the circumcisèd dog, And smote him, thus.	And say besides that in Aleppo once, where a malignant and turbaned Turk beat a Venetian and translated the state, I took by the throat the circumcised dog and s
But no more sights!—Where are these gentlemen?	But no more sights!—Where are these gentlemen?
We took this mattock and this spade from him As he was coming from this churchyard’s side.	We took this mattock and this spade from him as he was coming from this churchyard’s side.
Content.	Content.
Not tonight, good Iago.	Not tonight, Iago.
Give me a torch.	Give me a torch.
Thy name is Gloucester.	Your name is Gloucester.
Spirits, which by mine art I have from their confines called to enact My present fancies.	Spirits, which I have called to act from their confines, are the ones I have called to act on my current fancies.
I can tell your Majesty, the duke is a prave man.	I can tell your Majesty, the duke is a prave man.
Therefore get you on and give him his desire.	So hurry on and give him his desire.
My dear master, My captain, and my emperor, let me say, Before I strike this bloody stroke, farewell.	My dear master, my captain, and my emperor, let me say, before I strike this bloody stroke, goodbye.
Belike Some things—I know not what.	I don’t know what.
I cannot say “whore,” It does abhor me now I speak the word.	I can’t say “whore,” but it’s a shame I’m speaking the word now.
Some there be that shadows kiss.	There are some people who kiss.
We’ll give them present audience.	We’ll give them the opportunity to speak.
Once more remove, good friends.	Now, remove your sword, my friends.
They are.	They are.
I did send To you for gold to pay my legions, Which you denied me.	I sent you for gold to pay my legions, which you denied me.
Would I were in an alehouse in London!	I wish I were in a pub in London!
